code insee,ville,inscrits,abstentions,exprimes,LDVG,LFN,LUD
54117,Chaouilley,101,38,60,9,20,31
54118,Charency-Vezin,391,206,181,30,72,79
54119,Charey,61,12,46,10,16,20
54120,Charmes-la-Côte,276,90,182,38,61,83
54121,Charmois,159,34,118,36,40,42
54122,Chaudeney-sur-Moselle,590,207,360,78,160,122
54123,Chavigny,1281,416,821,170,262,389
54124,Chazelles-sur-Albe,37,4,33,3,17,13
54125,Chenevières,383,125,240,44,115,81
54126,Chenicourt,167,47,118,14,43,61
54127,Chenières,485,177,297,62,98,137
54128,Choloy-Ménillot,570,206,346,54,184,108
54129,Cirey-sur-Vezouze,1241,581,623,67,281,275
54130,Clayeures,153,31,118,22,48,48
54131,Clémery,375,97,267,34,94,139
54132,Clérey-sur-Brenon,59,20,36,7,7,22
54133,Coincourt,115,34,77,5,30,42
54134,Colmey,211,110,96,13,53,30
54135,Colombey-les-Belles,997,392,571,94,297,180
54136,Conflans-en-Jarnisy,1874,830,978,293,387,298
54137,Cons-la-Grandville,431,192,229,56,84,89
54138,Cosnes-et-Romain,1835,737,1070,209,333,528
54139,Courbesseaux,194,48,143,26,65,52
54140,Courcelles,79,22,56,6,16,34
54141,Coyviller,120,22,93,25,23,45
54142,Crantenoy,114,41,71,16,25,30
54143,Crépey,293,114,175,32,74,69
54144,Crévéchamps,344,125,212,36,112,64
54145,Crévic,733,263,451,120,183,148
54146,Crézilles,232,85,138,29,54,55
54147,Crion,89,23,65,11,20,34
54148,Croismare,450,135,306,51,150,105
54149,Crusnes,1068,517,520,211,156,153
54150,Custines,2039,775,1216,248,493,475
54151,Cutry,711,294,395,97,98,200
54152,Damelevières,2487,943,1456,423,553,480
54153,Dampvitoux,56,15,37,5,18,14
54154,Deneuvre,402,146,249,37,115,97
54155,Deuxville,287,81,205,40,84,81
54156,Diarville,395,135,249,46,111,92
54157,Dieulouard,3422,1479,1851,419,766,666
54158,Dolcourt,99,17,78,13,37,28
54159,Dombasle-sur-Meurthe,6612,2658,3800,796,1570,1434
54160,Domèvre-en-Haye,272,97,164,26,80,58
54161,Domèvre-sur-Vezouze,233,76,151,14,77,60
54162,Domgermain,946,398,531,104,210,217
54163,Domjevin,206,65,133,25,55,53
54164,Dommarie-Eulmont,67,15,47,12,7,28
54165,Dommartemont,560,172,379,34,82,263
54166,Dommartin-la-Chaussée,29,6,23,0,14,9
54167,Dommartin-lès-Toul,1438,452,945,144,403,398
54168,Dommartin-sous-Amance,244,83,153,31,47,75
54169,Domprix,72,23,47,12,15,20
54170,Domptail-en-l'Air,53,8,45,10,18,17
54171,Doncourt-lès-Conflans,867,358,487,120,189,178
54172,Doncourt-lès-Longuyon,207,92,110,22,47,41
54173,Drouville,121,41,78,8,37,33
54174,Ecrouves,2583,968,1555,245,673,637
54175,Einvaux,293,117,152,33,74,45
54176,Einville-au-Jard,899,319,558,119,241,198
54177,Emberménil,184,50,127,18,67,42
54178,Epiez-sur-Chiers,103,45,58,8,20,30
54179,Eply,223,73,140,25,50,65
54180,Erbéviller-sur-Amezule,66,21,41,5,15,21
54181,Errouville,480,227,245,77,81,87
54182,Essey-et-Maizerais,266,87,171,25,71,75
54183,Essey-la-Côte,76,17,56,5,33,18
54184,Essey-lès-Nancy,6109,2565,3424,670,982,1772
54185,Etreval,53,17,36,6,10,20
54186,Eulmont,819,227,571,128,161,282
54187,Euvezin,84,21,63,6,33,24
54188,Faulx,941,361,563,115,249,199
54189,Favières,458,168,275,55,132,88
54190,Fécocourt,96,30,66,7,37,22
54191,Fenneviller,109,35,71,10,31,30
54192,Ferrières,219,53,160,21,64,75
54193,Fey-en-Haye,59,8,50,7,23,20
54194,Fillières,364,150,204,32,66,106
54195,Flainval,167,49,112,22,54,36
54196,Flavigny-sur-Moselle,1076,347,703,130,257,316
54197,Fléville-devant-Nancy,1885,503,1331,237,383,711
54198,Fléville-Lixières,210,88,112,19,47,46
54199,Flin,323,100,215,29,94,92
54200,Flirey,151,55,90,15,36,39
54201,Fontenoy-la-Joûte,258,62,190,20,82,88
54202,Fontenoy-sur-Moselle,248,64,178,21,52,105
54203,Forcelles-Saint-Gorgon,135,41,86,11,29,46
54204,Forcelles-sous-Gugney,90,28,56,7,22,27
54205,Foug,2074,1001,1009,227,452,330
54206,Fraimbois,289,77,200,41,90,69
54207,Fraisnes-en-Saintois,96,42,44,6,23,15
54208,Francheville,261,91,164,22,95,47
54209,Franconville,50,18,31,4,15,12
54210,Fréménil,161,27,124,10,65,49
54211,Frémonville,173,53,119,19,55,45
54212,Fresnois-la-Montagne,295,131,157,32,66,59
54213,Friauville,325,130,188,23,62,103
54214,Frolois,498,158,330,58,137,135
54215,Frouard,4934,2279,2566,625,953,988
54216,Froville,115,35,76,16,30,30
54217,Gélacourt,134,43,89,5,51,33
54218,Gélaucourt,56,27,28,2,13,13
54219,Gellenoncourt,53,11,39,2,18,19
54220,Gémonville,69,31,37,2,19,16
54221,Gerbécourt-et-Haplemont,189,52,127,18,66,43
54222,Gerbéviller,956,352,570,118,220,232
54223,Germiny,167,51,115,18,51,46
54224,Germonville,107,38,69,9,19,41
54225,Gézoncourt,148,36,110,27,42,41
54226,Gibeaumeix,111,38,66,8,34,24
54227,Giraumont,960,404,530,167,223,140
54228,Giriviller,46,15,29,8,14,7
54229,Glonville,288,95,183,19,95,69
54230,Gogney,53,25,26,5,11,10
54231,Gondrecourt-Aix,131,61,62,12,25,25
54232,Gondreville,2137,694,1390,243,515,632
54233,Gondrexon,36,6,29,3,7,19
54234,Gorcy,1629,879,725,155,276,294
54235,Goviller,342,100,234,35,104,95
54236,Grand-Failly,273,128,142,17,61,64
54237,Grimonviller,81,18,58,12,28,18
54238,Gripport,216,65,148,28,68,52
54239,Griscourt,97,29,66,6,37,23
54240,Grosrouvres,57,11,44,2,27,15
54241,Gugney,69,12,50,7,19,24
54242,Gye,160,29,123,23,52,48
54243,Hablainville,173,58,105,17,53,35
